id,question,gt,isTrue,isTagged,dataset,unique_id
0,"Reformatted Question: Oscar saw a <fact1>38-foot shark</fact1> with <fact2>16 remoras</fact2>, each <fact3>19 inches long</fact3> attached to it. Then, a quarter of the remoras swam away. Later, Oscar saw another <fact4>10-foot shark</fact4> with <fact5>6 remoras</fact5>, each <fact6>3 inches long</fact6>, attached to it. On average, what percentage of each shark's body length is covered by the remoras?

Answer: First, we need to calculate the total length of the remoras for each shark. For the first shark, there were originally <fact2>16 remoras</fact2>, but a quarter of them swam away, so there are <fact2>16</fact2> * 3/4 = 12 remoras left. The total length of the remoras for the first shark is 12 * <fact3>19 inches</fact3> = 228 inches. We need to convert this to feet, so 228 inches / 12 = 19 feet.

For the second shark, the total length of the remoras is <fact5>6 remoras</fact5> * <fact6>3 inches</fact6> = 18 inches. We need to convert this to feet, so 18 inches / 12 = 1.5 feet.

Now, we can calculate the percentage of each shark's body length that is covered by the remoras. For the first shark, the percentage is (19 feet / <fact1>38 feet</fact1>) * 100% ≈ 50%. For the second shark, the percentage is (1.5 feet / <fact4>10 feet</fact4>) * 100% = 15%.

To find the average percentage, we add the two percentages and divide by 2: (50% + 15%) / 2 = 32.5%. 

The answer is {32.5}.",32.5,1,1,p2,0
0,"Reformatted Question: Oliver saw a <fact1>48-foot whale</fact1> with <fact2>12 remoras</fact2>, each <fact3>24 inches long</fact3> attached to it. Then, <fact4>1/2 of the remoras swam away</fact4>. Later, Oliver saw another <fact5>10-foot whale</fact5> with <fact6>6 remoras</fact6>, each <fact7>6 inches long</fact7>, attached to it. On average, what percentage of each whale's body length is covered by the remoras?

Answer: First, we need to calculate the total length of the remoras attached to each whale. For the first whale, there were originally <fact2>12 remoras</fact2>, but <fact4>1/2 of the remoras swam away</fact4>, so there are <fact2>12</fact2> / 2 = 6 remoras left. Each remora is <fact3>24 inches long</fact3>, so the total length of the remoras is 6 * <fact3>24 inches</fact3> = 144 inches. We need to convert this to feet, so 144 inches / 12 = 12 feet.

For the second whale, there are <fact6>6 remoras</fact6>, each <fact7>6 inches long</fact7>, so the total length of the remoras is <fact6>6</fact6> * <fact7>6 inches</fact7> = 36 inches. We need to convert this to feet, so 36 inches / 12 = 3 feet.

Now, we can calculate the percentage of each whale's body length that is covered by the remoras. For the first whale, the remoras cover 12 feet / <fact1>48 feet</fact1> = 0.25 or 25%. For the second whale, the remoras cover 3 feet / <fact5>10 feet</fact5> = 0.3 or 30%.

To find the average percentage, we add the two percentages and divide by 2: (25% + 30%) / 2 = 27.5%. 

The answer is {27.5}.",27.5,1,1,p2,1
0,"Reformatted Question: Carlos saw a <fact1>34-foot shark</fact1> with <fact2>18 remoras</fact2>, each <fact3>17 inches long</fact3> attached to it. Then, a third of the remoras swam away. Later, Carlos saw another <fact4>10-foot shark</fact4> with <fact5>4 remoras</fact5>, each <fact6>3 inches long</fact6>, attached to it. On average, what percentage of each shark's body length is covered by the remoras?

Answer: First, we need to calculate the total length of the remoras for each shark. For the first shark, there were originally <fact2>18 remoras</fact2>, but a third of them swam away, so there are <fact2>18</fact2> * 2/3 = 12 remoras left. The total length of the remoras for the first shark is 12 * <fact3>17 inches</fact3> = 204 inches. We need to convert this to feet, so 204 inches / 12 = 17 feet.

For the second shark, the total length of the remoras is <fact5>4 remoras</fact5> * <fact6>3 inches</fact6> = 12 inches. We need to convert this to feet, so 12 inches / 12 = 1 foot.

Now, we can calculate the percentage of each shark's body length that is covered by the remoras. For the first shark, the percentage is (17 feet / <fact1>34 feet</fact1>) * 100% ≈ 50%. For the second shark, the percentage is (1 foot / <fact4>10 feet</fact4>) * 100% = 10%.

To find the average percentage, we add the two percentages and divide by 2: (50% + 10%) / 2 = 30%.

The answer is {30}.",30.0,1,1,p2,2
0,"Reformatted Question: Andre saw a <fact1>30-foot whale</fact1> with <fact2>18 remoras</fact2>, each <fact3>15 inches long</fact3> attached to it. Then, a third of the remoras swam away. Later, Andre saw another <fact4>10-foot whale</fact4> with <fact5>6 remoras</fact5>, each <fact6>7 inches long</fact6>, attached to it. On average, what percentage of each whale's body length is covered by the remoras?

Answer: First, we need to calculate the total length of the remoras for each whale. For the first whale, there were originally <fact2>18 remoras</fact2>, but a third of them swam away, so there were <fact2>18</fact2> * 2/3 = 12 remoras left. The total length of the remoras for the first whale is 12 * <fact3>15 inches</fact3> = 180 inches. We need to convert this to feet, so 180 inches / 12 = 15 feet.

For the second whale, there were <fact5>6 remoras</fact5>, each <fact6>7 inches long</fact6>, so the total length of the remoras for the second whale is <fact5>6</fact5> * <fact6>7 inches</fact6> = 42 inches. We need to convert this to feet, so 42 inches / 12 = 3.5 feet.

Now, we can calculate the percentage of each whale's body length that is covered by the remoras. For the first whale, the percentage is (15 feet / <fact1>30 feet</fact1>) * 100% = 50%. For the second whale, the percentage is (3.5 feet / <fact4>10 feet</fact4>) * 100% = 35%.

To find the average percentage, we add the two percentages and divide by 2: (50% + 35%) / 2 = 42.5%. 

The answer is {42.5}.",42.5,1,1,p2,3
0,"Reformatted Question: Uma saw a <fact1>40-foot shark</fact1> with <fact2>18 remoras</fact2>, each <fact3>16 inches long</fact3> attached to it. Then, <fact4>1/6 of the remoras swam away</fact4>. Later, Uma saw another <fact5>10-foot shark</fact5> with <fact6>6 remoras</fact6>, each <fact7>8 inches long</fact7>, attached to it. On average, what percentage of each shark's body length is covered by the remoras?

Answer: First, we need to calculate the total length of the remoras attached to the first shark. There were originally <fact2>18 remoras</fact2>, but <fact4>1/6 of the remoras swam away</fact4>, so there are <fact2>18</fact2> - <fact2>18</fact2>/<fact4>6</fact4> = 15 remoras left. Each remora is <fact3>16 inches long</fact3>, so the total length of the remoras is 15 * <fact3>16 inches</fact3> = 240 inches. Since the shark is <fact1>40 feet long</fact1>, we need to convert the length of the remoras to feet: 240 inches / 12 = 20 feet. 

The percentage of the shark's body length covered by the remoras is (20 feet / <fact1>40 feet</fact1>) * 100% = 50%.

For the second shark, there are <fact6>6 remoras</fact6>, each <fact7>8 inches long</fact7>, so the total length of the remoras is <fact6>6</fact6> * <fact7>8 inches</fact7> = 48 inches. Converting to feet, we get 48 inches / 12 = 4 feet. 

The percentage of the shark's body length covered by the remoras is (4 feet / <fact5>10 feet</fact5>) * 100% = 40%.

To find the average percentage, we add the two percentages and divide by 2: (50% + 40%) / 2 = 45%.

The answer is {45}.",45.0,1,1,p2,4
0,"Reformatted Question: Jamal saw a <fact1>38-foot shark</fact1> with <fact2>15 remoras</fact2>, each <fact3>19 inches long</fact3> attached to it. Then, a <fact4>fifth of the remoras swam away</fact4>. Later, Jamal saw another <fact5>12-foot shark</fact5> with <fact6>6 remoras</fact6>, each <fact7>6 inches long</fact7>, attached to it. On average, what percentage of each shark's body length is covered by the remoras?

Answer: First, we need to calculate the total length of the remoras attached to each shark. For the first shark, there were originally <fact2>15 remoras</fact2>, but a <fact4>fifth of the remoras swam away</fact4>, so there are <fact2>15</fact2> - <fact2>15</fact2>/<fact4>5</fact4> = 12 remoras left. The total length of these remoras is 12 * <fact3>19 inches</fact3> = 228 inches. We need to convert this to feet, so 228 inches / 12 = 19 feet.

For the second shark, there are <fact6>6 remoras</fact6>, each <fact7>6 inches long</fact7>, so the total length of the remoras is <fact6>6</fact6> * <fact7>6 inches</fact7> = 36 inches. Again, we need to convert this to feet, so 36 inches / 12 = 3 feet.

Now, we can calculate the percentage of each shark's body length that is covered by the remoras. For the first shark, the percentage is (19 feet / <fact1>38 feet</fact1>) * 100% ≈ 50%. For the second shark, the percentage is (3 feet / <fact5>12 feet</fact5>) * 100% ≈ 25%.

To find the average percentage, we add the two percentages and divide by 2: (50% + 25%) / 2 = 37.5%. 

The answer is {37.5}.",37.5,1,1,p2,5
0,"Reformatted Question: Nia saw a <fact1>40-foot dolphin</fact1> with <fact2>12 remoras, each 12 inches long</fact2> attached to it. Then, <fact3>1/3 of the remoras swam away</fact3>. Later, Nia saw another <fact4>10-foot dolphin</fact4> with <fact5>6 remoras, each 3 inches long</fact5>, attached to it. On average, what percentage of each dolphin's body length is covered by the remoras?

Answer: First, we need to calculate the total length of the remoras attached to each dolphin. For the first dolphin, there were originally <fact2>12 remoras, each 12 inches long</fact2>, which is a total of <fact2>12</fact2> * 12 = 144 inches. Since <fact3>1/3 of the remoras swam away</fact3>, the remaining remoras have a total length of 144 - (144 / 3) = 96 inches. We need to convert this to feet to match the length of the dolphin, so 96 inches / 12 = 8 feet.

For the second dolphin, there are <fact5>6 remoras, each 3 inches long</fact5>, which is a total of <fact5>6</fact5> * 3 = 18 inches. Converting this to feet, we get 18 inches / 12 = 1.5 feet.

Now, we can calculate the percentage of each dolphin's body length that is covered by the remoras. For the first dolphin, the remoras cover 8 feet / <fact1>40 feet</fact1> = 0.2 or 20%. For the second dolphin, the remoras cover 1.5 feet / <fact4>10 feet</fact4> = 0.15 or 15%.

To find the average percentage, we add the percentages and divide by 2: (20 + 15) / 2 = 35 / 2 = 17.5%. 

The answer is {17.5}.",17.5,1,1,p2,6
0,"Reformatted Question: Sanjay saw a <fact1>33-foot shark</fact1> with <fact2>12 remoras</fact2>, each <fact3>22 inches long</fact3> attached to it. Then, a quarter of the remoras swam away. Later, Sanjay saw another <fact4>10-foot shark</fact4> with <fact5>8 remoras</fact5>, each <fact6>6 inches long</fact6>, attached to it. On average, what percentage of each shark's body length is covered by the remoras?

Answer: First, we need to convert the length of the remoras from inches to feet. Since there are 12 inches in a foot, the remoras attached to the first shark are <fact3>22 inches</fact3> / 12 = 1.83 feet long. The remoras attached to the second shark are <fact6>6 inches</fact6> / 12 = 0.5 feet long.

A quarter of the remoras attached to the first shark swam away, so the number of remoras left is <fact2>12 remoras</fact2> - <fact2>12 remoras</fact2> / 4 = 9 remoras.

The total length of the remoras attached to the first shark is 9 remoras * 1.83 feet/remora = 16.47 feet. The total length of the remoras attached to the second shark is <fact5>8 remoras</fact5> * 0.5 feet/remora = 4 feet.

The percentage of the first shark's body length covered by the remoras is (16.47 feet / <fact1>33 feet</fact1>) * 100% = 49.9%. The percentage of the second shark's body length covered by the remoras is (4 feet / <fact4>10 feet</fact4>) * 100% = 40%.

The average percentage of each shark's body length covered by the remoras is (49.9% + 40%) / 2 = 44.95%. We can round this to 45%.

The answer is {45}.",45.0,1,1,p2,7
0,"Reformatted Question: Tariq saw a <fact1>40-foot dolphin</fact1> with <fact2>12 remoras, each 12 inches long</fact2> attached to it. Then, <fact3>1/3 of the remoras swam away</fact3>. Later, Tariq saw another <fact4>10-foot dolphin</fact4> with <fact5>4 remoras, each 3 inches long</fact5>, attached to it. On average, what percentage of each dolphin's body length is covered by the remoras?

Answer: First, we need to calculate the total length of the remoras attached to each dolphin. For the first dolphin, there were originally <fact2>12 remoras, each 12 inches long</fact2>, which is a total of <fact2>12</fact2> * 12 = 144 inches. Since <fact3>1/3 of the remoras swam away</fact3>, the remaining remoras have a total length of 144 - (144 / 3) = 96 inches. For the second dolphin, the total length of the remoras is <fact5>4 remoras, each 3 inches long</fact5>, which is a total of <fact5>4</fact5> * 3 = 12 inches.

Now, we need to convert the length of the remoras from inches to feet. There are 12 inches in 1 foot, so the total length of the remoras for the first dolphin is 96 / 12 = 8 feet, and for the second dolphin, it is 12 / 12 = 1 foot.

The percentage of each dolphin's body length covered by the remoras can be calculated by dividing the total length of the remoras by the length of the dolphin and multiplying by 100. For the first dolphin, this is (8 / <fact1>40</fact1>) * 100 = 20%. For the second dolphin, this is (1 / <fact4>10</fact4>) * 100 = 10%.

To find the average percentage, we add the percentages for both dolphins and divide by 2: (20 + 10) / 2 = 15%.

The answer is {15}.",15.0,1,1,p2,8
0,"Reformatted Question: Fatima saw a <fact1>42-foot dolphin</fact1> with <fact2>16 remoras</fact2>, each <fact3>21 inches long</fact3> attached to it. Then, <fact4>1/4 of the remoras swam away</fact4>. Later, Fatima saw another <fact5>8-foot dolphin</fact5> with <fact6>8 remoras</fact6>, each <fact7>3 inches long</fact7>, attached to it. On average, what percentage of each dolphin's body length is covered by the remoras?

Answer: First, we need to calculate the total length of the remoras attached to each dolphin. For the first dolphin, there were originally <fact2>16 remoras</fact2>, but <fact4>1/4 of the remoras swam away</fact4>, so there are <fact2>16</fact2> - <fact2>16</fact2> * <fact4>1/4</fact4> = 12 remoras left. The total length of these remoras is 12 * <fact3>21 inches</fact3> = 252 inches. We need to convert this to feet, so 252 inches / 12 = 21 feet.

For the second dolphin, there are <fact6>8 remoras</fact6>, each <fact7>3 inches long</fact7>, so the total length of the remoras is <fact6>8</fact6> * <fact7>3 inches</fact7> = 24 inches. Again, we need to convert this to feet, so 24 inches / 12 = 2 feet.

Now, we can calculate the percentage of each dolphin's body length that is covered by the remoras. For the first dolphin, the percentage is (21 feet / <fact1>42 feet</fact1>) * 100% ≈ 50%. For the second dolphin, the percentage is (2 feet / <fact5>8 feet</fact5>) * 100% = 25%.

To find the average percentage, we add the two percentages and divide by 2: (50% + 25%) / 2 = 37.5%. 

The answer is {37.5}.",37.5,1,1,p2,9
